Ward Code,Ward,Local Authority,Total residents,Born in the UK,Resident in UK: Less than 2 years,Resident in UK: 2 years or more but less than 5 years,Resident in UK: 5 years or more ,Resident in UK: 5 years or more but less than 10 years,Resident in UK: 10 years or more
E05008537,Warboys and Bury,Huntingdonshire,6354,5942,59,76,277,61,216
E05002790,Yaxley and Farcet,Huntingdonshire,11041,10307,79,85,570,126,444
E05002791,Balsham,South Cambridgeshire,4682,4377,25,30,250,49,201
E05002792,Bar Hill,South Cambridgeshire,5048,4420,56,110,462,140,322
E05002793,Barton,South Cambridgeshire,2506,2141,46,46,273,62,211
E05002794,Bassingbourn,South Cambridgeshire,5088,4688,57,56,287,59,228
E05002795,Bourn,South Cambridgeshire,10334,8617,173,322,1222,575,647
E05002796,Caldecote,South Cambridgeshire,2478,2193,33,44,208,58,150
E05002797,Comberton,South Cambridgeshire,2346,2094,20,32,200,60,140
E05002798,Cottenham,South Cambridgeshire,8070,7306,73,123,568,166,402
E05002799,Duxford,South Cambridgeshire,2808,2603,17,29,159,50,109
E05002800,Fowlmere and Foxton,South Cambridgeshire,2438,2277,24,11,126,15,111
E05002801,Fulbourn,South Cambridgeshire,4673,3881,106,161,525,202,323
E05002802,Gamlingay,South Cambridgeshire,4900,4632,16,38,214,49,165
E05002803,Girton,South Cambridgeshire,4559,3734,124,123,578,144,434
E05002804,Hardwick,South Cambridgeshire,2670,2417,9,28,216,59,157
E05002805,Harston and Hauxton,South Cambridgeshire,2402,2128,29,16,229,61,168
E05002806,Haslingfield and The Eversdens,South Cambridgeshire,2656,2456,12,19,169,31,138
E05002807,Histon and Impington,South Cambridgeshire,10600,9100,238,284,978,363,615
E05002808,Linton,South Cambridgeshire,4846,4540,27,33,246,40,206
E05002809,Longstanton,South Cambridgeshire,2657,2342,36,49,230,60,170
E05002810,Melbourn,South Cambridgeshire,5610,5251,24,38,297,61,236
E05002811,Meldreth,South Cambridgeshire,2551,2356,9,15,171,41,130
E05002812,Milton,South Cambridgeshire,4679,3811,145,201,522,196,326
E05002813,Orwell and Barrington,South Cambridgeshire,2329,2200,7,3,119,13,106
E05002814,Papworth and Elsworth,South Cambridgeshire,4888,4280,71,83,454,215,239
E05002815,Sawston,South Cambridgeshire,7145,6411,100,94,540,193,347
E05002816,Swavesey,South Cambridgeshire,2463,2301,16,23,123,28,95
E05002817,Teversham,South Cambridgeshire,2943,2155,113,217,458,240,218
E05002818,The Abingtons,South Cambridgeshire,2308,2050,30,30,198,71,127
E05002819,The Mordens,South Cambridgeshire,2404,2272,3,13,116,19,97
E05002820,The Shelfords and Stapleford,South Cambridgeshire,7322,6435,81,114,692,157,535
E05002821,The Wilbrahams,South Cambridgeshire,2761,2460,57,39,205,57,148
E05002822,Waterbeach,South Cambridgeshire,6014,5384,70,152,408,157,251
E05002823,Whittlesford,South Cambridgeshire,2700,2443,26,21,210,54,156
E05002824,Willingham and Over,South Cambridgeshire,6877,6436,36,57,348,102,246
,,,,,,,,,
