"NAME","Jan 2014 - Dec 2014","Apr 2014 - Mar 2015","Jul 2014 - Jun 2015","Oct 2014 - Sep 2015","Jan 2015 - Dec 2015","Apr 2015 - Mar 2016","Jul 2015 - Jun 2016","Oct 2015 - Sep 2016","Jan 2016 - Dec 2016","Apr 2016 - Mar 2017","Jul 2016 - Jun 2017","Oct 2016 - Sep 2017","Jan 2017 - Dec 2017","Apr 2017 - Mar 2018","Jul 2017 - Jun 2018","Oct 2017 - Sep 2018","Jan 2018 - Dec 2018","Apr 2018 - Mar 2019","Jul 2018 - Jun 2019","Oct 2018 - Sep 2019","Jan 2019 - Dec 2019","Apr 2019 - Mar 2020","Jul 2019 - Jun 2020","Oct 2019 - Sep 2020"
"The Mills",139956,133235,142847,145266,152121,162271,162779,171628,173250,177930,180989,182174,184819,185697,188506,193082,189450,189112,190743,187423,197900,200555,192192,203293
"Waterlees Village",114726,116358,115818,115599,114901,112899,115633,117399,120407,127008,129621,133133,132455,140140,135468,136227,139575,131708,137975,138496,138257,145394,145028,145790
"Wenneye",164195,161754,169080,164739,186054,190491,187982,202296,213469,223115,230275,226060,204500,208912,211900,223488,230558,235024,261769,256281,275232,274375,247160,242500
"Barnack",405736,402673,421917,458095,429154,431209,411140,438129,424982,423986,457836,450768,440522,452331,451266,474776,514408,508270,511212,484019,503732,522614,533080,512199
"Bretton",124086,126965,130601,130227,128707,127051,128735,134832,141400,152753,151044,153221,154763,153661,158345,163317,168079,169505,168722,167891,165607,167599,168564,167892
"Central",135776,135508,143299,157815,175536,178393,177902,174202,169530,184178,199406,212610,222484,219310,215474,207774,208073,209048,213592,222476,211108,203637,196931,182665
"Dogsthorpe",123583,125766,128529,134440,137299,141249,138903,139110,141242,141893,142924,146694,148055,149912,154207,154459,161528,169719,176380,182086,186795,185732,183842,181472
"East",123713,121514,125340,125255,122371,127013,130019,134558,140839,137300,136162,136706,134168,141038,143216,143459,149222,147693,150021,150416,151584,155692,152320,149862
"Eye, Thorney and Newborough",164342,171251,177217,177671,190556,194731,202847,206472,214488,216050,219695,228396,225355,230704,236626,230321,240961,239582,238382,244324,235659,228535,227536,222191
"Fletton and Stanground",151245,150826,152783,152641,158724,156757,155977,156689,157476,160659,164556,169010,165543,166172,168607,168965,175392,180027,187867,197678,197339,198913,199509,192070
"Fletton and Woodston",163669,169996,178372,176988,175104,173973,174460,178272,187853,192354,190389,195652,191906,190702,190559,195057,196421,196372,206764,195477,193844,194482,195874,206255
"Glinton and Castor",327847,314028,297234,301470,316248,330340,333652,355392,347173,322212,323434,322633,334303,370555,366010,357819,366101,355547,362622,383691,372861,375809,382351,352683
"Gunthorpe",163260,160415,161620,161492,160865,160987,162884,167479,170245,174378,170141,175702,185226,191257,201350,198236,200644,201815,197738,203102,204845,208735,215775,211086
"Hampton Vale",189531,190528,194108,200784,202882,203244,203083,211416,217000,218079,217552,212728,216243,215419,220464,223171,225115,229236,235657,237921,247418,254585,257188,263656
"Hargate and Hempsted",166608,166712,174920,177809,177889,179288,180607,183122,190582,197653,200540,205063,207510,201830,208335,207625,205441,211957,210079,213722,224744,232438,236603,235705
"North",122114,125713,128617,132325,130014,131522,131321,131028,133755,131074,133454,133572,134745,140266,142126,149528,151636,154665,155407,154084,159308,159717,159066,161122
"Orton Longueville",152669,149672,148887,147053,153332,149213,153469,154327,158308,166046,157119,156103,167978,165961,168652,183503,174244,183062,190290,186682,190572,190517,192287,188806
"Orton Waterville",186215,191403,190999,171516,168951,175917,178755,205214,213843,217212,218750,223228,230374,234646,231072,224444,222871,219151,218486,211069,214755,216403,224452,230932
"Park",161971,167192,164733,168670,172395,174659,174510,181376,182814,174942,186786,187274,189931,205439,202552,200648,198154,194122,194795,198520,209410,212154,207503,221887
"Paston and Walton",151173,150320,145294,141405,139931,142120,142890,146195,153053,152047,159385,164632,163270,164288,163143,161620,163380,170507,170709,178087,184717,181523,185781,183658
"Ravensthorpe",166043,167891,168378,161880,165700,167384,165936,164749,173615,169759,174378,189061,191055,204276,211132,202708,197007,193821,186121,184871,184438,186459,194834,199004
"Stanground South",164952,167046,170778,173689,178247,179277,180568,187143,188670,190654,191584,190023,195012,199526,202893,203557,206389,208294,206384,209464,210294,210418,217138,217067
