Ward Code,Ward,Local Authority,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
E05008584,Upwood and The Raveleys,Huntingdonshire,2072,15,46,2,11,2,7,1086,199
E05008537,Warboys and Bury,Huntingdonshire,4066,6,10,12,26,9,14,1716,495
E05002790,Yaxley and Farcet,Huntingdonshire,7102,23,45,1,66,46,33,2979,746
E05002791,Balsham,South Cambridgeshire,2834,12,7,2,20,2,12,1318,475
E05002792,Bar Hill,South Cambridgeshire,2942,37,23,1,83,1,18,1545,398
E05002793,Barton,South Cambridgeshire,1393,13,24,7,20,0,12,789,248
E05002794,Bassingbourn,South Cambridgeshire,3164,18,9,13,24,2,23,1454,381
E05002795,Bourn,South Cambridgeshire,5453,62,229,22,216,45,24,3575,708
E05002796,Caldecote,South Cambridgeshire,1460,9,27,17,13,0,5,763,184
E05002797,Comberton,South Cambridgeshire,1411,0,11,6,2,5,4,718,189
E05002798,Cottenham,South Cambridgeshire,4670,22,21,13,60,2,38,2601,643
E05002799,Duxford,South Cambridgeshire,1765,11,5,6,6,7,7,783,218
E05002800,Fowlmere and Foxton,South Cambridgeshire,1562,3,5,8,18,0,9,627,206
E05002801,Fulbourn,South Cambridgeshire,2713,36,82,8,106,9,11,1299,409
E05002802,Gamlingay,South Cambridgeshire,3093,10,0,7,7,4,14,1353,412
E05002803,Girton,South Cambridgeshire,2354,34,53,23,72,11,19,1555,438
E05002804,Hardwick,South Cambridgeshire,1538,23,33,2,23,1,20,820,210
E05002805,Harston and Hauxton,South Cambridgeshire,1462,11,29,2,26,14,16,671,171
E05002806,Haslingfield and The Eversdens,South Cambridgeshire,1602,4,5,11,14,0,11,777,232
E05002807,Histon and Impington,South Cambridgeshire,5727,54,91,28,193,7,48,3549,903
E05002808,Linton,South Cambridgeshire,3020,12,5,12,24,0,20,1421,332
E05002809,Longstanton,South Cambridgeshire,1476,10,26,8,50,9,9,896,173
E05002810,Melbourn,South Cambridgeshire,3474,15,7,17,13,9,29,1572,474
E05002811,Meldreth,South Cambridgeshire,1487,13,1,9,17,4,11,743,266
E05002812,Milton,South Cambridgeshire,2639,40,97,10,79,9,15,1367,423
E05002813,Orwell and Barrington,South Cambridgeshire,1502,8,0,2,7,0,4,624,182
E05002814,Papworth and Elsworth,South Cambridgeshire,2982,23,42,13,46,2,18,1372,390
E05002815,Sawston,South Cambridgeshire,4423,31,43,12,31,4,21,2052,528
E05002816,Swavesey,South Cambridgeshire,1440,26,5,7,16,8,4,735,222
E05002817,Teversham,South Cambridgeshire,1650,26,104,11,98,5,15,816,218
E05002818,The Abingtons,South Cambridgeshire,1440,17,7,6,4,2,11,637,184
E05002819,The Mordens,South Cambridgeshire,1604,10,0,9,6,0,5,593,177
E05002820,The Shelfords and Stapleford,South Cambridgeshire,4343,44,41,25,84,9,30,2134,612
E05002821,The Wilbrahams,South Cambridgeshire,1624,3,22,9,25,3,9,849,217
E05002822,Waterbeach,South Cambridgeshire,3528,20,38,1,39,4,27,1816,541
E05002823,Whittlesford,South Cambridgeshire,1698,24,13,20,11,2,15,705,212
E05002824,Willingham and Over,South Cambridgeshire,3990,19,18,15,11,6,34,2212,572
,,,,,,,,,,,
