Ward Code,Ward,Local Authority,Total residents,England,Northern Ireland,Scotland,Wales,UK not otherwise specified,Other EU total,Other countries
E05002786,Stilton,Huntingdonshire,3091,2852,16,50,26,0,78,69
E05008535,The Hemingfords,Huntingdonshire,6036,5273,38,154,98,0,192,281
E05008584,Upwood and The Raveleys,Huntingdonshire,3440,2961,29,84,40,0,111,215
E05008537,Warboys and Bury,Huntingdonshire,6354,5711,28,126,77,0,132,280
E05002790,Yaxley and Farcet,Huntingdonshire,11041,9990,46,180,91,0,320,414
E05002791,Balsham,South Cambridgeshire,4682,4239,17,85,36,0,114,191
E05002792,Bar Hill,South Cambridgeshire,5048,4272,23,84,41,0,274,354
E05002793,Barton,South Cambridgeshire,2506,2052,15,51,23,0,131,234
E05002794,Bassingbourn,South Cambridgeshire,5088,4499,41,82,66,0,194,206
E05002795,Bourn,South Cambridgeshire,10334,8295,41,181,100,0,551,1166
E05002796,Caldecote,South Cambridgeshire,2478,2108,11,50,24,0,103,182
E05002797,Comberton,South Cambridgeshire,2346,2008,12,46,28,0,90,162
E05002798,Cottenham,South Cambridgeshire,8070,7021,51,148,81,5,301,463
E05002799,Duxford,South Cambridgeshire,2808,2499,8,64,32,0,84,121
E05002800,Fowlmere and Foxton,South Cambridgeshire,2438,2196,13,40,28,0,44,117
E05002801,Fulbourn,South Cambridgeshire,4673,3738,20,86,37,0,236,556
E05002802,Gamlingay,South Cambridgeshire,4900,4521,10,69,30,2,123,145
E05002803,Girton,South Cambridgeshire,4559,3532,32,97,73,0,297,528
E05002804,Hardwick,South Cambridgeshire,2670,2339,13,30,35,0,85,168
E05002805,Harston and Hauxton,South Cambridgeshire,2402,2027,22,46,31,2,81,193
E05002806,Haslingfield and The Eversdens,South Cambridgeshire,2656,2359,19,47,31,0,87,113
E05002807,Histon and Impington,South Cambridgeshire,10600,8706,62,180,152,0,611,889
E05002808,Linton,South Cambridgeshire,4846,4386,18,78,58,0,132,174
E05002809,Longstanton,South Cambridgeshire,2657,2224,26,66,25,1,137,178
E05002810,Melbourn,South Cambridgeshire,5610,5063,17,104,64,3,167,192
E05002811,Meldreth,South Cambridgeshire,2551,2271,12,41,32,0,76,119
E05002812,Milton,South Cambridgeshire,4679,3672,25,81,32,1,420,448
E05002813,Orwell and Barrington,South Cambridgeshire,2329,2131,14,34,21,0,38,91
E05002814,Papworth and Elsworth,South Cambridgeshire,4888,4118,29,78,54,1,149,459
E05002815,Sawston,South Cambridgeshire,7145,6213,30,111,57,0,308,426
E05002816,Swavesey,South Cambridgeshire,2463,2222,10,41,28,0,66,96
E05002817,Teversham,South Cambridgeshire,2943,2065,6,50,34,0,250,538
E05002818,The Abingtons,South Cambridgeshire,2308,1956,12,49,33,0,117,141
E05002819,The Mordens,South Cambridgeshire,2404,2195,8,42,27,0,60,72
E05002820,The Shelfords and Stapleford,South Cambridgeshire,7322,6159,51,144,81,0,357,530
E05002821,The Wilbrahams,South Cambridgeshire,2761,2364,17,42,37,0,137,164
E05002822,Waterbeach,South Cambridgeshire,6014,5101,41,151,90,1,254,376
E05002823,Whittlesford,South Cambridgeshire,2700,2352,10,49,30,2,97,160
E05002824,Willingham and Over,South Cambridgeshire,6877,6215,37,112,72,0,168,273
,,,,,,,,,,
